,0
C2H6(v24) + H^+ => H2 + H2 + C2H3^+,562460000.0
C2H6(v13) + H^+ => H2 + H2 + C2H3^+,531380000.0
C2H4(v1) + H^+ => H + C2H4^+,481780000.0
C2H4(v2) + H^+ => H2 + C2H3^+,419550000.0
C2H6(v24) + H^+ => H2 + H + C2H4^+,281230000.0
C2H6(v13) + H^+ => H2 + H + C2H4^+,265690000.0
C2H6(v24) + H^+ => H2 + C2H5^+,261140000.0
C2H6(v13) + H^+ => H2 + C2H5^+,246710000.0
C2H4(v2) + H^+ => H + C2H4^+,139850000.0
e + C3H6(v) => e + e + C2H2 + CH4^+,85154012.09260699
CH4(v13) + C3H7 => C3H8 + CH3,84233657.42999999
CH4(v24) + C3H7 => C3H8 + CH3,76669400.846
C2H6 + C3H7 => C3H8 + C2H5,75329617.873
C2H2(v5) + H^+ => H + C2H2^+,36505000.0
CH4 + CH3 => H + C2H6,19005017.5
C3H8(v1) + CH2 => C4H9H,14347402.9066069
C2H3 + C3H8 => C2H4 + C3H7,13269199.679680001
C2H2(v2) + H^+ => H + C2H2^+,13159000.0
C3H8(v2) + CH2 => C4H9H,13108236.482547691
e + C3H8 => e + e + C3H8^+,9394641.554168165
e + e + C3H8^+ => e + C3H8,9300964.184924414
C2H5 + C3H6 => C3H5 + C2H6,9208293.189151002
C2H6(v24) + H => CH4 + CH3,8170457.401
C2H2(v13) + H^+ => H + C2H2^+,8083200.0
C2H6(v13) + H => CH4 + CH3,6221797.483000001
e + C3H8 => e + e + H + C3H7^+,4434382.68161358
C2H5 + C3H8 => C2H6 + C3H7,1191475.5674740002
C2H5 + C2H4(v1) => C2H6 + C2H3,732162.6808132
C2H6(v13) + C3H7 => C3H8 + C2H5,604788.2434305
C2H6(v24) + C3H7 => C3H8 + C2H5,577570.8733815
e + C3H8 => e + e + H2 + C3H6^+,418990.0173980858
CH4(v13) + CH3 => H + C2H6,392787.8375
CH4(v24) + CH3 => H + C2H6,348252.13389999996
C2H3 + C3H8(v1) => C2H4 + C3H7,343345.16068172996
C2H3 + C3H8(v2) => C2H4 + C3H7,302297.42418118
C2H5 + C2H4(v2) => C2H6 + C2H3,169737.30427637
e + C3H8(v1) => e + e + C3H8^+,68238.61704025081
e + C3H8(v2) => e + e + C3H8^+,61609.0966864954
C2H5 + C3H8(v1) => C2H6 + C3H7,54631.282933575
C2H5 + C3H8(v2) => C2H6 + C3H7,49914.466611789
C2H5 + C3H6(v) => C3H5 + C2H6,12740.388086449999
