exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
23,23.00,30,0.25,3,6,2,2.369582459,117.3753607,2.8289176,0.107731075,-0.00312147,4.0122,0.012530225,0.27943014,1.12,0.99,2.9,,,,,
23,23.60,30,0.25,3,6,3,1.902773312,205.7515654,2.5346037,0.232279165,-0.00016848,3.376152,0.015095178,0.46707366,1.15,1,2.8,,,,,
23,24.20,30,0.25,3,6,4,1.704021211,245.7515718,2.4190838,0.382327305,0.00391591,2.853432,0.017253098,0.6740415,1.1,1,2.8,,,,,
23,24.60,30,0.25,3,6,5,1.57827522,279.1946317,2.19758945,0.55279472,0.00919334,2.330982,0.0190382,0.8826135,1.1,1,2.8,,,,,
23,24.70,30,0.25,3,6,7,1.351342585,356.66568,2.003149845,0.898483905,-0.03209625,1.3204838,0.021533792,1.0424374,0.92,1.1,2.77,,,,,
24,22.60,20,0.25,1.00,2.00,0,,,1.02372039,-0.005857075,-0.006195,2.08142,0.003961251,0.013573469,1,1,2,,,,,
24,19.50,20,0.25,1.00,2.00,1,3.739587226,8.373419156,0.96832961,-0.00074453,-0.005446415,1.8635,0.005681678,0.052406618,1.05,1,1.95,,,,,
24,17.10,20,0.25,1.00,2.00,3,2.038554687,31.19189105,0.89274406,0.037345035,-0.003832125,1.3999622,0.008964195,0.17390144,1.1,1,1.9,,,,,
24,17.10,20,0.25,1.00,2.00,4,1.640197564,61.52545891,0.85532094,0.074910535,-0.002745735,1.142955,0.010621851,0.26197816,1.1,1,1.9,,,,,
24,17.20,20,0.25,1.00,2.00,5,1.451910487,74.48078908,0.81537906,0.12038615,-0.00147913,0.9103878,0.012149218,0.35317414,1.1,1,1.9,,,,,
24,17.20,20,0.25,1.00,2.00,6,1.244456751,102.6490753,0.773248595,0.18306043,0.00039443,0.701195,0.013669081,0.44557304,1.07,1,1.93,,,,,
24,17.10,20,0.25,1.00,2.00,7,1.063621429,132.3790539,0.715058515,0.263886895,0.003504005,0.525995,0.015202922,0.53698744,1.02,1,1.94,,,,,
25,18.10,30,0.25,1,2,0,,,1.009335235,-0.005888195,-0.006195,2.08142,0.003771412,0.012944611,1,1,2,,,,,
25,18.00,30,0.25,1,2,2,4.674918308,24.22664276,0.93057117,0.04160656,-0.00427929,1.47042,0.008713208,0.163416,1.1,1,1.95,,,,,
25,18.90,30,0.25,1,2,3,3.503733946,72.06748853,0.873920705,0.11004742,-0.002969835,1.067495,0.011055614,0.29958776,1.05,1.02,1.95,,,,,
25,19.50,30,0.25,1,2,4,2.76766592,113.1845215,0.777511405,0.21881746,-0.00093827,0.66938,0.013679833,0.46799446,1,1.02,2,,,,,
25,19.70,30,0.25,1,2,5,2.174071077,166.6049976,0.653966955,0.357873085,0.00171729,0.3981272,0.016119392,0.61701944,0.9,1.08,2,,,,,
25,19.30,30,0.25,1,2,6,1.777882497,203.8302565,0.50891797,0.53300082,0.005449975,0.2296952,0.018442682,0.74839864,0.8,1.1,2.05,,,,,
26,21.60,30,0.25,0.5,1,0,,,0.5067999,-0.00563047,-0.00544475,1.0022958,0.003707261,0.011848421,1,1,2,,,,,
26,19.50,30,0.25,0.5,1,2,2.33341112,33.76510814,0.45419496,0.035601345,-0.0040366,0.6054728,0.007870114,0.11560886,1,1,2,,,,,
26,19.70,30,0.25,0.5,1,3,1.641257859,123.1956354,0.388299295,0.110820705,-0.003230925,0.3119462,0.010777119,0.22420806,1,1,2,,,,,
26,19.20,30,0.25,0.5,1,4,1.089940006,243.687828,0.24234008,0.247246465,-0.001872095,0.126695,0.014233802,0.33396544,0.9,1.05,2.05,,,,,
26,18.80,30,0.25,0.5,1,5,0.856660538,277.8305384,0.06630885,0.39022121,9.7205E-05,0.038294762,0.016713018,0.40914086,0.85,1.1,2.05,,,,,
26,17.60,30,0.25,0.5,1,6,0.861899335,90.95019082,-0.00604808,0.44070422,0.002793755,0.003797393,0.017523288,0.4378615,0.8,1.1,2.05,,,,,
27,22.50,30,0.25,3,6,0,,,3.14997815,-0.005072585,-0.005689335,5.51255,0.006458305,0.021010033,1,1,3,,,,,
27,22.10,30,0.25,3,6,2.0,2.48980597,67.09175597,2.6791531,0.076855625,-0.003798305,3.850542,0.0104238,0.22734694,1.15,1,2.905,,,,,
